アルバイト	part-time job	
かいもの	shopping	買い物
クラス	class	
あなた	you	
いぬ	dog	犬
おみやげ	souvenir	お土産
こども	child	子供
ごはん	rice; meal	ご飯
しゃしん	picture; photograph	写真
つくえ	desk	机
てがみ	letter	手紙
ねこ	cat	猫
パン	bread	
ひと	person	人
おてら	temple	お寺
こうえん	park	公園
スーパー	supermarket	
デパート	department store	
バスてい	bus stop	バス停
びょういん	hospital	病院
ホテル	hotel	
ほんや	bookstore	本屋
まち	town; city	町
レストラン	restaurant	
きのう	yesterday	昨日
さっき	a little while ago	
～じかん	hour	～時間
いちじかん	one hour	一時間
せんしゅう	last week	先週
とき	when; at the time of	時
げつようび	Monday	月曜日
かようび	Tuesday	火曜日
すいようび	Wednesday	水曜日
もくようび	Thursday	木曜日
きんようび	Friday	金曜日
あう	to meet; to see a person	会う
ある	there is	
かう	to buy	買う
かく	to write	書く
とる	to take pictures	撮る
まつ	to wait	待つ
わかる	to understand	分かる
いる	a person is in; stays at	
～ぐらい	about; approximately	
ごめんなさい	I'm sorry	
だから	so; therefore	
たくさん	many; a lot	沢山
～と	together with	
どうして	why	
ひとりで	alone	一人で
もしもし	Hello? used on the phone	
みぎ	right	右
ひだり	left	左
まえ	front	前
うしろ	back	後ろ
なか	inside	中
うえ	on; above	上
した	under; below	下
そば	near	側
となり	next to	隣
あいだ	between	間
そこ	there	
ここ	here	