japanese	pronunciation_EN	pronunication_KR	translation_EN	translation_KR	example	lesson	notes_front	notes_back
すみません	Sumimasen	수미마센	Excuse me, sorry	죄송하는돼...		1		
おはようございます	Ohayou gozaimasu	오하요— 고자이마스	Good morning	안녕하세요		1	polite	
ありがとうございます	Arigatou gozaimasu	아리가또— 고자이마스	Thank you	감사합니다		1	polite	
こんにちは	Konnichiwa	콘니치와	Hello, good afternoon	안녕하세요		1		
はい	hai	하이	Yes	네/예		1		
いいえ	iie	이~에	No	아니요		1		
これ	kore	코레	This	이것		2		
は	wa	와	[topic particle]	이/가 / 은/는	아빠**가** 밥을 먹다. = 父**は**ご飯を食べる。= Dad eats food.	2		1
これは	kore wa	코레 와	This + [topic particle]	이것이 / 이것은		2		
いくら	ikura	이쿠라	how much	얼마나		2	question word	
...です。	...desu.	...데스.	to be / is / are [copula]	...입니다.		2	polite, particle	2
...か？	...ka?	...카?	[question particle]	No single direct Korean equivalent word, but I like to think of it as the same 까 as in "뭐뭐입니까?"		2	particle	3
これはいくらですか？	Kore wa ikura desuka?	코레 와 이쿠라 데스카?	How much is this?	이것은 얼마입니까?		2		
英語	eigo	에—고	English (language)	영어		3		
を	o	오	[object particle]	을/를	아빠가 밥**을** 먹다. = 父はご飯**を**食べる。= Dad eats food.	3	particle	4
英語を	eigo o	에—고 오	English (language) + [object particle]	영어를		3		
韓国語	kankokugo	칸코쿠고	Korean (language)	한국어		3		
話せる	hanaseru	하나세루	to be able to speak	말할 수 있다		3		
...ます。	...masu.	...마스.	[polite verb ending]	...습니다 / ...ㅂ니다.		3	polite	5
話せます。	Hanase masu.	하나세 마스.	(person) can speak.	말할 수 있습니다.		3		6
話せますか？	Hanase masuka?	하나세 마스카?	(person) speaks?	말해요?		3		6
英語を話せますか？	Eigo o hanase masuka?	에—고 오 하나세 마스카?	Can you speak English?	영어를 말할 수 있습니까?		3		
お...	o...	오...	[honorific noun prefix]	No single direct Korean equivalent word.	お茶 / ocha / 오차	4	polite, prefix	7
お水	omizu	오미주	water	물		4	polite	8
お茶	ocha	오차	tea	차		4	polite	9
抹茶	maccha	맟차	matcha	말차		4		
お酒	osake	오사케	alcoholic beverage (including sake)	술		4	polite	10
コーヒー	koohii	코—히—	coffee	커피		4	(written more traditionally as 珈琲)	
ビール	biiru	비—루	beer	맥주		4		
ください	kudasai	쿠다사이	please	No single direct Korean equivalent word, but can think of it as capturing the two meanings of "please" and "주세요"	물주세요. = お水**ください**。= Water, please	4	polite	
お水をください。	Omizu o kudasai.	오미주 오 쿠다사이.	Water, please.	물주세요.		4		
ヴィーガン	viigan	비—간	vegan	비건		5		
ヴィーガンです。	Viigan desu.	비—간 데스.	I'm vegan.	비건입니다.		5		
料理	ryouri	료—리	cooking, cuisine	요리		5		
ある	aru	아루	to be, to have, to exist	있다		5		
あります。	Ari masu.	아리 마스.	There is (thing).	있습니다.		5		11,6
ヴィーガン料理はありますか？	Viigan ryouri wa ari masuka?	비—간 료—리 와 아리 마스카?	Do you have vegan dishes?	비건 요리가 있나요?		5		
もし	moshi	모시	perhaps / possibly	혹시		5		
もしヴィーガン料理はありますか？	Moshi viigan ryouri wa ari masuka?	모시 비—간 료—리 와 아리 마스카?	Do you possibly have vegan dishes?	혹시 비건 요리가 있나요?		5		12
お願い	onegai	오네가이	request, favor, wish	부탁		6	polite	
する	suru	수루	to do	하다		6		
します。	shimasu.	시마스.	(person) does (something).	합니다.		6	polite	
お願いします。	Onegaishimasu.	오네가이시마스.	(person) requests (something).	부탁합니다.		6		6
これをお願いします。	Kore o onegaishimasu.	코레 오 오네가이시마스.	This, please.	이것으로 주세요.		6		
一つ	hitotsu	히톳쓰	one (counting)	하나		6		13
二つ	futatsu	후탓쓰	two (counting)	둘		6		14
お水を二つお願いします。	Omizu o futatsu onegaishimasu.	오미주 오 후탓쓰 오네가이시마스.	Two waters, please.	물 두잔 주세요.		6		
ごちそうさま。	Gochisousama.	고치소—사마.	Thank you for the meal.	잘 먹었습니다.		7		
美味しい	oishii	오이시—	delicious	맛있는 / 맛있다		7		
トイレ	toire	토이레	restroom	화장실		7		15
どこ	doko	도코	where	어디		7	question word	
トイレはどこですか？	Toire wa doko desuka?	토이레 와 도코 데스카?	Where is the restroom?	화장실이 어디예요?		7		
ワイファイ	waifai	와이파이	WiFi	와이파이		7		
電話	denwa	덴와	phone	전화기		7		
お会計	okaikei	오카이케—	bill, check	계산서		8		
お会計お願いします。	Okaikei onegaishimasu.	오카이케— 오네가이시마스.	The check, please.	계산 해주세요.		8		
カード	kaado	카—도	card, credit card	카드		8		
現金	genkin	겐킨	cash	현금		8		
大丈夫	daijoubu	다이조—부	good / alright	괜찮아		8		
...で	...de	...데	[means/method particle]	...로	비행기**로** 가요. = 飛行機**で**行きます。 = (person) is going by plane.	8	particle	
カードで大丈夫ですか？	Kaado de daijoubu desuka?	카—도데 다이조—부 데스카?	Is paying by card okay?	카드로 괜찮습니까?		8		16